Frail_Hz,E_BUF4_J,E_BUF8P_J,E_NAIVE_NOT_J,E_QUADRAIL_NOT_J
1e6,1.84538e-14,8.69968e-15,6.03903e-11,1.73997e-14
2e6,1.84189e-14,8.84067e-15,3.08141e-11,1.76847e-14
5e6,1.86663e-14,9.26973e-15,1.19478e-11,1.85393e-14
1e7,1.91048e-14,9.63241e-15,6.02468e-12,1.92662e-14
2e7,1.98436e-14,5.98326e-15,2.87687e-12,1.19663e-14
5e7,2.15891e-14,5.05732e-15,1.27965e-12,1.01148e-14
1e8,2.39095e-14,6.18099e-15,5.68170e-13,1.23619e-14
2e8,2.75429e-14,1.29733e-14,3.12256e-13,2.59467e-14
5e8,3.20431e-14,1.74717e-14,1.50882e-13,3.49428e-14
1e9,2.78243e-14,2.48756e-14,8.15087e-14,4.96923e-14
