W_um,Tphase_ns,Trail_ns,f_tr_MHz,E_A_fJ,E_B_fJ,E_C_fJ
0.84,1,4,1000,61.6987,61.6987,61.6987
0.84,2,8,500,36.8065,36.8065,36.8065
0.84,5,20,200,23.7124,23.7124,23.7124
0.84,10,40,100,20.3969,20.3969,20.3969
0.84,20,80,50,21.2916,21.2916,21.2916
0.84,50,200,20,42.5264,42.5265,42.5264
0.84,100,400,10,43.3845,43.3845,43.3845
1.0,1,4,1000,64.9535,64.9535,64.9535
1.0,2,8,500,36.8554,36.8554,36.8554
1.0,5,20,200,23.8672,23.8672,23.8672
1.0,10,40,100,21.6179,21.6179,21.6179
1.0,20,80,50,23.9716,23.9711,23.9714
1.0,50,200,20,45.1084,45.1077,45.1081
1.0,100,400,10,44.047,44.0479,44.0474
1.2,1,4,1000,70.7396,70.7395,70.7395
1.2,2,8,500,40.732,40.732,40.732
1.2,5,20,200,24.3848,24.3848,24.3848
1.2,10,40,100,23.8327,23.8327,23.8327
1.2,20,80,50,32.0504,32.0504,32.0504
1.2,50,200,20,46.6297,46.6295,46.6296
1.2,100,400,10,44.6536,44.6536,44.6536
1.5,1,4,1000,68.6294,68.6294,68.6294
1.5,2,8,500,34.8705,34.8705,34.8705
1.5,5,20,200,26.9465,26.9465,26.9465
1.5,10,40,100,30.6065,30.6066,30.6065
1.5,20,80,50,49.9152,49.9154,49.9153
1.5,50,200,20,47.6236,47.6244,47.624
1.5,100,400,10,46.0403,46.0404,46.0404
2.0,1,4,1000,71.1413,71.1412,71.1412
2.0,2,8,500,38.4528,38.4528,38.4528
2.0,5,20,200,32.7587,32.7586,32.7586
2.0,10,40,100,54.0263,54.0263,54.0263
2.0,20,80,50,54.1532,54.1538,54.1535
2.0,50,200,20,50.5316,50.5315,50.5315
2.0,100,400,10,49.2026,49.2026,49.2026
3.0,1,4,1000,76.8371,76.837,76.8371
3.0,2,8,500,42.1096,42.1096,42.1096
3.0,5,20,200,61.4678,61.4678,61.4678
3.0,10,40,100,64.2038,64.2038,64.2038
3.0,20,80,50,60.1604,60.1604,60.1604
3.0,50,200,20,57.1034,57.1041,57.1037
3.0,100,400,10,56.086,56.0861,56.086
