W_um,Tphase_ns,Tclock_ns,f_tr_MHz,E_A_fJ,E_B_fJ,E_C_fJ
0.84,1,4,1000,59.5888,59.5888,59.5888
0.84,2,8,500,43.1529,43.1529,43.1529
0.84,5,20,200,28.9209,28.9209,28.9209
0.84,10,40,100,22.5451,22.5451,22.5451
0.84,20,80,50,18.3081,18.3081,18.3081
0.84,50,200,20,14.5825,14.5825,14.5825
0.84,100,400,10,12.6076,12.6076,12.6076
1.0,1,4,1000,54.6948,54.6948,54.6948
1.0,2,8,500,39.8223,39.8223,39.8223
1.0,5,20,200,27.3168,27.3168,27.3168
1.0,10,40,100,21.6584,21.6584,21.6584
1.0,20,80,50,17.8262,17.8262,17.8262
1.0,50,200,20,14.3651,14.3651,14.3651
1.0,100,400,10,12.4589,12.4589,12.4589
1.2,1,4,1000,51.115,51.1151,51.1151
1.2,2,8,500,37.5837,37.5837,37.5837
1.2,5,20,200,26.4078,26.4078,26.4078
1.2,10,40,100,21.282,21.282,21.282
1.2,20,80,50,17.7364,17.7364,17.7364
1.2,50,200,20,14.4423,14.4423,14.4423
1.2,100,400,10,12.5598,12.5598,12.5598
1.5,1,4,1000,46.0544,46.0546,46.0545
1.5,2,8,500,33.9301,33.9302,33.9302
1.5,5,20,200,24.2835,24.2835,24.2835
1.5,10,40,100,19.8145,19.8145,19.8145
1.5,20,80,50,16.6752,16.6752,16.6752
1.5,50,200,20,13.7022,13.7022,13.7022
1.5,100,400,10,11.9683,11.9683,11.9683
2.0,1,4,1000,41.3976,41.3979,41.3977
2.0,2,8,500,31.0586,31.0587,31.0587
2.0,5,20,200,22.8807,22.8807,22.8807
2.0,10,40,100,18.9715,18.9715,18.9715
2.0,20,80,50,16.1483,16.1483,16.1483
2.0,50,200,20,13.3868,13.3868,13.3868
2.0,100,400,10,11.7318,11.7318,11.7318
3.0,1,4,1000,36.4318,36.4322,36.432
3.0,2,8,500,28.083,28.0831,28.083
3.0,5,20,200,21.4023,21.4023,21.4023
3.0,10,40,100,18.0893,18.0893,18.0893
3.0,20,80,50,15.6168,15.6168,15.6168
3.0,50,200,20,13.1027,13.1027,13.1027
3.0,100,400,10,11.5505,11.5505,11.5505
