W_um,Tphase_ns,Tclock_ns,E_J,E_fJ
0.84,1,4,6.31894e-14,63.1894
0.84,2,8,4.63956e-14,46.3956
0.84,5,20,2.90713e-14,29.0713
0.84,10,40,1.85206e-14,18.5206
0.84,20,80,1.03207e-14,10.3207
0.84,50,200,6.10257e-15,6.10257
0.84,100,400,5.45023e-15,5.45023
1.0,1,4,5.87173e-14,58.7173
1.0,2,8,4.34898e-14,43.4898
1.0,5,20,2.78825e-14,27.8825
1.0,10,40,1.80491e-14,18.0491
1.0,20,80,1.00837e-14,10.0837
1.0,50,200,6.00806e-15,6.00806
1.0,100,400,5.36221e-15,5.36221
1.2,1,4,5.56730e-14,55.673
1.2,2,8,4.18344e-14,41.8344
1.2,5,20,2.77057e-14,27.7057
1.2,10,40,1.84166e-14,18.4166
1.2,20,80,1.05270e-14,10.527
1.2,50,200,5.70686e-15,5.70686
1.2,100,400,5.09680e-15,5.0968
1.5,1,4,5.11719e-14,51.1719
1.5,2,8,3.86602e-14,38.6602
1.5,5,20,2.50106e-14,25.0106
1.5,10,40,1.58216e-14,15.8216
1.5,20,80,7.99557e-15,7.99557
1.5,50,200,5.37634e-15,5.37634
1.5,100,400,4.83337e-15,4.83337
2.0,1,4,4.75726e-14,47.5726
2.0,2,8,3.67993e-14,36.7993
2.0,5,20,2.39341e-14,23.9341
2.0,10,40,1.48967e-14,14.8967
2.0,20,80,7.25506e-15,7.25506
2.0,50,200,5.43074e-15,5.43074
2.0,100,400,4.93971e-15,4.93971
3.0,1,4,4.43245e-14,44.3245
3.0,2,8,3.53816e-14,35.3816
3.0,5,20,2.22880e-14,22.288
3.0,10,40,1.30664e-14,13.0664
3.0,20,80,6.14665e-15,6.14665
3.0,50,200,5.14124e-15,5.14124
3.0,100,400,4.72765e-15,4.72765
